x;y;Acratosaura.mentalis;Adelophryne.baturitensis;Adelophryne.maranguapensis;Ameivula.nigrigula;Anodorhynchus.leari;Anopetia.gounellei;Anotosaura.vanzolinia;Antilophia.bokermanni;Augastes.lumachella;Callicebus.barbarabrownae;Colobosauroides.cearensis;Copeoglossum.arajara;Formicivora.iheringi;Glaucomastix.cyanura;Glaucomastix.venetacauda;Hemidactylus.agrius;Herpsilochmus.sellowi;Hylopezus.ochroleucus;Kerodon.rupestris;Leptodactylus.oreomantis;Lonchophylla.inexpectata;Megaxenops.parnaguae;Mesoclemmys.tuberculata;Myrmorchilus.strigilatus.strigilatus;Nothobachia.ablephara;Penelope.jacucaca;Phyllopezus.periosus;Placosoma.limaverdorum;Pristimantis.relictus;Procellosaurinus.erythrocercus;Psilops.mucugensis;Rhinella.casconi;Rhopornis.ardesiacus;Rupirana.cardosoi;Sakesphoroides.cristatus;Scriptosaura.catimbau;Stigmatura.budytoides.gracilis;Stigmatura.napensis.bahiae;Synallaxis.hellmayri;Tropidurus.cocorobensis;Tropidurus.erythrocephalus;Tropidurus.helenae;Tropidurus.jaguaribanus;Tropidurus.pinima;Tropidurus.semitaeniatus;Vanzosaura.multiscutata;Wiedomys.pyrrhorhinos;Xeronycteris.vieirai;wc2.1_30s_bio_1;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19
-47.4465;-7.2695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.85000038;11.41666603;69.19191742;73.11260223;34.79999924;18.29999924;16.5;25.13333321;26.16666603;26.91666603;25.13333321;1660;279;9;74.77987671;795;41;194;795
-46.7495;-8.4995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.16666603;12.6833334;69.30783081;78.0539856;33.5;15.19999981;18.29999924;23.53333282;24.03333282;25.33333397;23.53333282;1325;213;4;76.41868591;602;24;175;602
-46.0935;-15.9205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23.64583397;13.0583334;68.36824036;161.5614014;31.89999962;12.80000019;19.09999847;24.56666565;21.33333397;24.95000076;21.33333397;1260;255;6;88.61170197;690;20;357;30
-46.0525;-14.8955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;22.52083397;12.15833282;70.27938843;119.8949966;30.29999924;13;17.29999924;23.03333282;20.85000038;23.60000038;20.83333397;1549;324;2;91.08665466;847;13;411;32
-45.6835;-12.0665;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23.57083321;12.74166679;71.18249512;87.76151276;32.5;14.60000038;17.89999962;23.60000038;22.71666718;24.71666718;22.60000038;1261;256;3;90.32106781;684;9;310;30
-45.3555;-14.8955;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.10833359;12.94999981;70.76502991;133.311554;31.39999962;13.10000038;18.29999924;23.78333282;21.21666718;24.28333282;21.21666718;1273;290;2;95.46198273;738;12;349;12
-45.3555;-10.0985;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.6875;14.20833302;68.63929749;101.6259842;34.79999924;14.10000038;20.69999886;24.73333359;23.48333359;26;23.46666718;1064;194;0;88.39472198;530;3;251;15
-45.3555;-10.0575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.6875;14.10833359;68.82113647;100.7274704;34.70000076;14.19999981;20.5;24.71666718;23.51666641;26;23.48333359;1055;194;0;88.51394653;526;3;249;15
-45.3145;-10.0165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.74166679;14.0666666;68.95424652;99.88251495;34.79999924;14.39999962;20.39999962;24.73333359;23.63333321;26.06666565;23.54999924;1060;197;0;88.24305725;527;3;251;16
-45.2735;-12.2305;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.32083321;13.07499981;70.29569244;96.94091034;33.40000153;14.80000019;18.60000229;24.51666641;23.21666718;25.51666641;23.08333397;1200;219;2;87.46151733;622;10;308;26
-45.2735;-10.0575;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.05833244;14.05000019;68.87255096;98.34616852;34.09999847;13.69999981;20.39999771;24.03333282;22.96666718;25.36666679;22.91666603;1066;197;0;88.88011932;531;3;250;15
-45.2735;-10.0165;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.04999924;14.0666666;68.95425415;98.51166534;35.09999847;14.69999981;20.39999771;25.33333397;23.98333359;26.36666679;23.88333321;1014;191;0;89.09919739;507;2;242;13
-45.1505;-15.4695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.52083397;13.54166698;69.09013367;153.3631744;32.40000153;12.80000019;19.60000229;24.31666756;21.35000038;24.86666679;21.35000038;1146;254;3;96.49453735;675;11;298;11
-45.1505;-12.4355;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.0625;13.09166718;70.76576233;97.00337982;33.20000076;14.69999981;18.5;24.23333359;23.01666641;25.29999924;22.85000038;1199;214;2;86.56412506;611;9;315;25
-45.0685;-11.5335;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;24.14583397;15.0583334;68.44697571;119.0198288;34.59999847;12.60000038;21.99999809;24.68333435;22.53333282;25.54999924;22.53333282;992;192;0;89.66871643;524;3;253;3
-45.0275;-16.0025;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.69166756;14.08333397;68.69918823;171.1038055;32.79999924;12.30000019;20.5;24.68333244;21.25;25.06666565;21.25;1042;222;3;93.8343277;606;12;299;12
-45.0275;-12.4355;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.83333397;13.51666641;70.0345459;101.2722168;33.29999924;14;19.29999924;24.10000038;22.66666603;25.10000038;22.53333282;1157;207;2;85.73561096;581;9;308;26
-44.9865;-12.3535;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.41666603;13.69999981;68.84422302;109.0732574;34;14.10000038;19.89999962;24.75;23.11666679;25.78333282;23;1100;198;2;85.15219116;555;12;297;29
-44.9865;-12.3125;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23.59166718;13.38333321;69.34369659;104.1160583;33;13.69999981;19.29999924;23.88333321;22.38333321;24.91666603;22.26666641;1141;206;2;85.73566437;571;9;301;25
-44.9865;-5.0145;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.73333359;11.14999962;72.87582397;93.28190613;34.5;19.20000076;15.29999924;26.01666641;26.96666718;28.13333321;26.01666641;1557;343;12;91.79797363;892;51;128;892
-44.9455;-17.3965;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23.39583397;13.65833378;68.29167175;197.1092987;31.79999924;11.80000019;20;24.71666718;20.60000038;24.91666603;20.60000038;1047;220;4;94.67152405;619;14;452;14
-44.9455;-17.3555;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;23.48333359;13.66666698;68.33333588;198.2231445;31.89999962;11.89999962;20;24.79999924;20.66666603;25.03333282;20.66666603;1079;226;4;94.26886749;635;15;467;15
-44.9455;-12.3945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.98333359;13.64999962;68.93939972;107.9842606;33.59999847;13.80000019;19.79999924;24.28333282;22.73333359;25.34999847;22.60000038;1126;203;2;85.60372925;562;10;298;25
-44.9455;-12.1895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.42499924;13.5;69.23077393;108.701004;32.79999924;13.30000019;19.5;23.79999924;22.08333397;24.76666641;22.01666641;1106;206;2;86.04165649;557;9;291;25
-44.9455;-12.1485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;24.24583435;13.77499962;68.87499237;114.3848877;33.70000076;13.69999981;20;24.70000076;22.78333282;25.61666679;22.73333359;1047;203;1;86.69329834;538;14;285;29
-44.9045;-12.3945;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.64166641;13.55000019;69.13265991;107.7630615;33.09999847;13.5;19.59999847;23.96666718;22.38333321;25.01666641;22.26666641;1137;201;1;85.16611481;560;8;303;24
